LabNo,artifactNo,date,standardError,site,material,materialType,materialId,collectedBy,submittedBy,srcType,srcId,indirectSrc
MTC-16147,Taisho3-P1,11950,50,Taisho 3 Site,pottery - inside,ps,1,,,a,3468,
MTC-16148,Taisho3-P2,12160,60,Taisho 3 Site,pottery - inside,ps,2,,,a,3468,
MTC-16149,Taisho3-P3,12330,70,Taisho 3 Site,pottery - inside,ps,3,,,a,3468,
MTC-16150,Taisho3-P4,12180,70,Taisho 3 Site,pottery - inside,ps,4,,,a,3468,
MTC-16151,Taisho3-P5,12280,60,Taisho 3 Site,pottery - inside,ps,5,,,a,3468,
MTC-16152,Taisho3-P6,11920,60,Taisho 3 Site,pottery - inside,ps,6,,,a,3468,
MTC-16153,YachiyoA-P14,8160,50,Yachiyo A Site,"pottery - inside, rim",ps,7,,,a,3468,
MTC-16154,YachiyoA-P19,7920,50,Yachiyo A Site,"pottery - inside, rim",ps,8,,,a,3468,
MTC-16155,YachiyoA-P20,8000,50,Yachiyo A Site,"pottery - inside, rim",ps,9,,,a,3468,
MTC-16156,YachiyoA-P21,8190,50,Yachiyo A Site,"pottery - inside, rim",ps,10,,,a,3468,
MTC-16157,YachiyoA-P22,8130,50,Yachiyo A Site,"pottery - inside, rim",ps,11,,,a,3468,
MTC-16158,YachiyoA-P23,8430,50,Yachiyo A Site,"pottery - inside, rim",ps,12,,,a,3468,
Tka-14586,KBM-F2-792,12690,110,Kuboderaminami Site,linear relief pottery,ps,13,,,a,3468,
Tka-14587,KBM-IT-208,12670,170,Kuboderaminami Site,linear relief pottery,ps,14,,,a,3468,
TKA-14598,KBM-F2-792,12460,90,Kuboderaminami Site,linear relief pottery,ps,15,,,a,3468,
TKA-15463,KBM-G2-308,12640,90,Kuboderaminami Site,linear relief pottery,ps,16,,,a,3468,
TKA-14554,KY-K-7-23-1,11940,50,Komaruyama B Site,linear-relief,ps,17,,,a,3468,
TKA-14552,HY-32-1-1,11800,60,Jin Site,pitted decoration pottery,ps,18,,,a,3468,
TKA-15459,HY-32-1-1,11670,80,Jin Site,pitted decoration pottery,ps,19,,,a,3468,
TKA-15460,HY 32-1-1,11690,90,Jin Site,pitted decoration pottery,ps,20,,,a,3468,
TKA-14594,91 JE-614,11700,90,Jin Site,pitted decoration pottery,ps,21,,,a,3468,
TKA-14599,HY 34,11760,120,Saigura Site,Nail-impressed pottery,ps,22,,,a,3468,
TKA-15462,HY 37-2-1,11760,80,Saigura Site,Nail-impressed pottery,ps,23,,,a,3468,
TKA-14584,HY 37-2-2,11570,80,Saigura Site,Nail-impressed pottery,ps,24,,,a,3468,
TKA-14551,HY 37-1,11550,60,Saigura Site,Nail-impressed pottery,ps,25,,,a,3468,
TKA-14556,109,11610,50,Nakada D Site,Plain pottery,ps,26,,,a,3468,
TKA-15461,24T-24,11440,80,Nakada D Site,Nail-impressed pottery,ps,27,,,a,3468,
TKA-14588,2,11340,120,Nakada D Site,Nail-impressed pottery,ps,28,,,a,3468,
TKA-14596,B4-16-3,10740,110,Okashimizu Site,Pressing and dragging,ps,29,,,a,3468,
TKA-14597,B4-16-25,10670,140,Okashimizu Site,Pressing and dragging,ps,30,,,a,3468,
TKA-14564,HY 83,10510,60,Kosegasawa Site,Nail-impressed pottery,ps,31,,,a,3468,
TKA-14620,14,11070,100,Unokiminami Site,Body Outer Type 1a,ps,32,,,a,3468,
TKA-14611,14,10810,70,Unokiminami Site,Body Inner Type 1a,ps,33,,,a,3468,
TKA-14622,241,10920,70,Unokiminami Site,Body Outer Type 1a,ps,34,,,a,3468,
TKA-14623,325,10920,70,Unokiminami Site,Body Outer Type 1b,ps,35,,,a,3468,
TKA-14612,325,10860,70,Unokiminami Site,Body Inner Type 1b,ps,36,,,a,3468,
TKA-14591,401,10850,130,Unokiminami Site,Body Outer Type 1c,ps,37,,,a,3468,
TKA-14613,2015,10850,70,Unokiminami Site,Rim Outer Type 1c,ps,38,,,a,3468,
TKA-14624,611,10830,80,Unokiminami Site,Body Outer Type 2a,ps,39,,,a,3468,
TKA-14625,613,10900,70,Unokiminami Site,Rim Outer Type 2a,ps,40,,,a,3468,
TKA-14626,613,10880,70,Unokiminami Site,Rim Inner Type 2a,ps,41,,,a,3468,
TKA-14614,614,10790,70,Unokiminami Site,Body Outer Type 2a,ps,42,,,a,3468,
TKA-14581,2021,10990,80,Unokiminami Site,Rim Outer Type 3b,ps,43,,,a,3468,
TKA-14615,2021,11000,60,Unokiminami Site,Rim Inner Type 3b,ps,44,,,a,3468,
TKA-14582,624,10950,120,Unokiminami Site,Rim Outer Type 5b,ps,45,,,a,3468,
TKA-14616,3001,10990,60,Unokiminami Site,Body Outer Type 7,ps,46,,,a,3468,
TKA-14583,3002,11670,130,Unokiminami Site,Rim Outer Type 7,ps,47,,,a,3468,
